Date,HICP
2005Jan,83.73
2005Feb,83.92
2005Mar,84.22
2005Apr,84.43
2005May,84.51
2005Jun,84.67
2005Jul,84.94
2005Aug,85.15
2005Sep,85.5
2005Oct,85.61
2005Nov,85.47
2005Dec,85.54
2006Jan,85.77
2006Feb,85.91
2006Mar,86.06
2006Apr,86.38
2006May,86.61
2006Jun,86.76
2006Jul,87.01
2006Aug,87.12
2006Sep,87
2006Oct,86.95
2006Nov,87.06
2006Dec,87.16
2007Jan,87.38
2007Feb,87.51
2007Mar,87.7
2007Apr,88.08
2007May,88.27
2007Jun,88.4
2007Jul,88.58
2007Aug,88.65
2007Sep,88.85
2007Oct,89.15
2007Nov,89.69
2007Dec,89.82
2008Jan,90.22
2008Feb,90.34
2008Mar,90.77
2008Apr,90.96
2008May,91.49
2008Jun,91.91
2008Jul,92.19
2008Aug,92
2008Sep,92.09
2008Oct,91.96
2008Nov,91.58
2008Dec,91.23
2009Jan,91.29
2009Feb,91.43
2009Mar,91.32
2009Apr,91.46
2009May,91.52
2009Jun,91.77
2009Jul,91.62
2009Aug,91.85
2009Sep,91.79
2009Oct,91.81
2009Nov,91.99
2009Dec,92.04
2010Jan,92.3
2010Feb,92.34
2010Mar,92.65
2010Apr,92.96
2010May,93.02
2010Jun,93.09
2010Jul,93.22
2010Aug,93.31
2010Sep,93.41
2010Oct,93.57
2010Nov,93.75
2010Dec,94.07
2011Jan,94.52
2011Feb,94.75
2011Mar,95.11
2011Apr,95.43
2011May,95.48
2011Jun,95.5
2011Jul,95.73
2011Aug,95.87
2011Sep,96.1
2011Oct,96.32
2011Nov,96.52
2011Dec,96.63
2012Jan,97.06
2012Feb,97.35
2012Mar,97.66
2012Apr,97.91
2012May,97.8
2012Jun,97.8
2012Jul,97.99
2012Aug,98.35
2012Sep,98.61
2012Oct,98.74
2012Nov,98.67
2012Dec,98.77
2013Jan,99.01
2013Feb,99.14
2013Mar,99.26
2013Apr,99.19
2013May,99.22
2013Jun,99.36
2013Jul,99.51
2013Aug,99.6
2013Sep,99.65
2013Oct,99.48
2013Nov,99.49
2013Dec,99.68
2014Jan,99.78
2014Feb,99.84
2014Mar,99.79
2014Apr,99.83
2014May,99.75
2014Jun,99.83
2014Jul,99.83
2014Aug,99.88
2014Sep,99.97
2014Oct,99.86
2014Nov,99.8
2014Dec,99.53
2015Jan,99.38
2015Feb,99.72
2015Mar,99.91
2015Apr,100.01
2015May,100.2
2015Jun,100.26
2015Jul,100.17
2015Aug,100.1
2015Sep,100.04
2015Oct,100.11
2015Nov,100.15
2015Dec,99.95
2016Jan,99.7
2016Feb,99.63
2016Mar,99.83
2016Apr,99.82
2016May,100.08
2016Jun,100.31
2016Jul,100.31
2016Aug,100.32
2016Sep,100.43
2016Oct,100.63
2016Nov,100.75
2016Dec,101.06
2017Jan,101.4
2017Feb,101.59
2017Mar,101.48
2017Apr,101.63
2017May,101.54
2017Jun,101.51
2017Jul,101.58
2017Aug,101.77
2017Sep,101.98
2017Oct,102.02
2017Nov,102.33
2017Dec,102.44
2018Jan,102.73
2018Feb,102.75
2018Mar,102.88
2018Apr,103
2018May,103.42
2018Jun,103.57
2018Jul,103.73
2018Aug,103.85
2018Sep,104.12
2018Oct,104.35
2018Nov,104.34
2018Dec,104.03
2019Jan,104.04
2019Feb,104.17
2019Mar,104.35
2019Apr,104.65
2019May,104.75
2019Jun,104.81
2019Jul,104.89
2019Aug,105.01
2019Sep,105.08
2019Oct,105.15
2019Nov,105.27
2019Dec,105.42
2020Jan,105.48
2020Feb,105.44
2020Mar,105.16
2020Apr,104.94
2020May,104.81
2020Jun,105.06
2020Jul,105.26
2020Aug,104.81
2020Sep,104.76
2020Oct,104.87
2020Nov,104.99
2020Dec,105.13
2021Jan,106.31
2021Feb,106.31
2021Mar,106.48
2021Apr,106.6
2021May,106.85
