date,index_21
2014-01,9.086101896277931
2014-02,10.834565907014793
2014-03,8.027284832930745
2014-04,4.053790953364388
2014-05,4.835460702973398
2014-06,5.436322523360807
2014-07,7.071796995964632
2014-08,7.683340387487724
2014-09,4.351781094929042
2014-10,13.66800726412356
2014-11,6.059141426412092
2014-12,17.062749880059595
2015-01,13.262873014019249
2015-02,12.629705905402046
2015-03,4.332908876787677
2015-04,10.077718970089672
2015-05,7.8667124647343645
2015-06,11.257484032754709
2015-07,25.325537080405386
2015-08,30.356107326648452
2015-09,10.9173970478315
2015-10,15.577523609179526
2015-11,7.394952518779282
2015-12,10.433394060338937
2016-01,12.013548856345052
2016-02,11.73389461244646
2016-03,10.997655619858262
2016-04,10.15107736858507
2016-05,8.483710939661208
2016-06,26.442670343018413
2016-07,12.224699545060403
2016-08,6.250316743904299
2016-09,7.053607667937155
2016-10,5.547214221661174
2016-11,8.020843721432076
2016-12,10.048748107301725
2017-01,4.366120522219406
2017-02,3.6017632022897366
2017-03,6.340082431681297
2017-04,16.48898557825502
2017-05,5.974008564835444
2017-06,5.121415839261284
2017-07,4.261852756724474
2017-08,8.5473407397288
2017-09,7.87589060075113
2017-10,3.195064487327575
2017-11,5.462125519845315
2017-12,5.346177221860855
2018-01,5.1564303166928465
2018-02,25.393168574940944
2018-03,11.810108857542339
2018-04,9.306908633425012
2018-05,9.83053443356695
2018-06,8.24835768113871
2018-07,7.424186108560684
2018-08,6.901816985743938
2018-09,6.571591945031278
2018-10,12.10713196794881
2018-11,4.867068294018109
2018-12,11.300934084554951
2019-01,11.72557929852121
2019-02,3.711623000209505
2019-03,6.671098240844606
2019-04,5.8322652710138
2019-05,7.363936057077579
2019-06,4.942022095391938
2019-07,3.3341152757776564
2019-08,8.946065398415511
2019-09,5.237559035562273
2019-10,11.243392634996946
2019-11,1.930857023189443
2019-12,8.126771758165336
