Month,remainder
2005 Jan,0.004322177865066834
2005 Feb,1.8955159491262918e-4
2005 Mar,9.039148522838047e-4
2005 Apr,-0.004448281967962764
2005 May,-0.0010629142131408642
2005 Jun,-9.371163770790503e-4
2005 Jul,-0.004102198633621157
2005 Aug,9.205858906859987e-4
2005 Sep,0.003690691290019643
2005 Oct,0.002090881367001529
2005 Nov,-6.83264163765962e-4
2005 Dec,-0.0049484356648514805
2006 Jan,7.150379231104509e-4
2006 Feb,0.0019715648056708446
2006 Mar,-0.005144992863026943
2006 Apr,-4.54320373585837e-4
2006 May,0.008503084625401947
2006 Jun,0.004445288210487952
2006 Jul,0.002564487523389225
2006 Aug,0.004770486634102511
2006 Sep,-0.002776172572945157
2006 Oct,-0.0037924241997870922
2006 Nov,0.0010423269865080798
2006 Dec,0.008473714596596515
2007 Jan,-0.010493619170209634
2007 Feb,-0.005521426002508711
2007 Mar,8.846671592461774e-4
2007 Apr,0.00723273059664109
2007 May,-0.0051758651078079865
2007 Jun,-0.0016754934732183813
2007 Jul,-0.001528507414307434
2007 Aug,-0.0017694057561277177
2007 Sep,-8.478507284248593e-5
2007 Oct,6.149938266046817e-4
2007 Nov,0.003885972825437456
2007 Dec,2.787003279580702e-4
2008 Jan,0.008530318771109435
2008 Feb,0.016414026747582966
2008 Mar,3.563515420292873e-4
2008 Apr,0.006089388589061606
2008 May,0.018990108148067897
2008 Jun,0.010564152416800532
2008 Jul,0.008716892221606543
2008 Aug,0.014463222882622695
2008 Sep,0.026920244850688668
2008 Oct,0.008851265783017759
2008 Nov,0.004214358605723945
2008 Dec,-0.0023756368655396543
2009 Jan,-0.009403756127042584
2009 Feb,-0.01593076667959803
2009 Mar,-0.022596396348204095
2009 Apr,-0.004387464659815876
2009 May,-0.006751432233059518
2009 Jun,-0.009181928790264138
2009 Jul,-0.005429750298021396
2009 Aug,-0.007436177155857315
2009 Sep,-0.0025837950491203188
2009 Oct,-0.0027427850956422972
2009 Nov,-0.0072145307274107395
2009 Dec,0.004242009723187223
2010 Jan,-0.002608165308955357
2010 Feb,-5.57080354064432e-4
2010 Mar,0.004830738876930418
2010 Apr,9.399757816916932e-4
2010 May,0.0071327222488255515
2010 Jun,0.0011991698825903896
2010 Jul,0.0010238150571488802
2010 Aug,-0.0035275665465315242
2010 Sep,-7.808079714406446e-4
2010 Oct,-0.002565136471250007
2010 Nov,3.157848893948767e-4
2010 Dec,0.002589082920502861
2011 Jan,0.002226474770741227
2011 Feb,0.009705025018559965
2011 Mar,-0.00488548386551102
2011 Apr,0.010421712825680274
2011 May,-0.007044890003272464
2011 Jun,-8.083050364779965e-4
2011 Jul,4.3154480222540315e-4
2011 Aug,-8.062688885601688e-4
2011 Sep,6.229295541775315e-4
2011 Oct,0.005140648213385113
2011 Nov,0.0017937074936629216
2011 Dec,-0.0017060460490121443
2012 Jan,0.004040509448040908
2012 Feb,8.055308768604164e-4
2012 Mar,0.0063375890781207644
2012 Apr,-0.004178572174115658
2012 May,0.0011503833432495725
2012 Jun,0.002441722011543135
2012 Jul,2.502628547480512e-4
2012 Aug,0.0039321185414529225
2012 Sep,0.002515686001556716
2012 Oct,-4.5789202521007155e-4
2012 Nov,-0.004267678157944488
2012 Dec,-7.692332445996541e-4
2013 Jan,-0.002421309601375654
2013 Feb,-0.0029124975690129062
2013 Mar,-0.0015974352544194659
2013 Apr,-0.00621944570715538
2013 May,0.0031157196732012338
2013 Jun,-0.0038027757082801372
2013 Jul,0.0015318525813050599
2013 Aug,0.0012604551966948208
2013 Sep,0.0013716403259476095
2013 Oct,-0.0026567089404867517
2013 Nov,0.005433014060438168
2013 Dec,-0.002425033244931818
2014 Jan,0.0010043894863152047
2014 Feb,4.301738135605859e-4
2014 Mar,0.0011770047231278724
2014 Apr,0.0021581165205732944
2014 May,-0.0034751913754407227
2014 Jun,3.07602762719128e-5
2014 Jul,-0.008700053220227488
2014 Aug,0.0019290281189681124
2014 Sep,-0.0025261603378803343
2014 Oct,-7.070412270309134e-4
2014 Nov,-0.0014263918362438233
2014 Dec,-0.003521101644533786
2015 Jan,-0.0022003740050919873
2015 Feb,-0.0015718906850841208
2015 Mar,-0.004144511470054901
2015 Apr,0.004577264722160024
2015 May,0.006755652657590261
2015 Jun,0.005786962291308484
2015 Jul,0.006799810834793085
2015 Aug,0.002351535934564275
2015 Sep,8.71424850142688e-4
2015 Oct,-0.001222764572069046
2015 Nov,-0.008442855774617009
2015 Dec,0.004276348483647219
2016 Jan,-0.001180779206784166
2016 Feb,-0.0011264593005764212
2016 Mar,-0.007256188918697504
2016 Apr,-0.006347859342595186
2016 May,-0.0029119067196576864
2016 Jun,-0.005124230119138318
2016 Jul,-8.671255870842387e-4
2016 Aug,-0.0035557629521836276
2016 Sep,-0.008308849868774892
2016 Oct,0.007970454082311562
2016 Nov,-0.004258161220545453
2016 Dec,0.0020261800516756523
2017 Jan,0.0035512362459790836
2017 Feb,0.0034442549115967225
2017 Mar,0.007831728492257106
2017 Apr,-2.385792105465967e-4
2017 May,7.562865486514525e-4
2017 Jun,-0.002220601797864319
2017 Jul,-0.0022528956370342357
2017 Aug,-0.010058806329029224
2017 Sep,0.006749561605982279
2017 Oct,-0.010138539924458456
2017 Nov,0.006476039542900658
2017 Dec,0.007132443387507514
2018 Jan,-0.0012466098626200406
2018 Feb,-0.005615582171509814
2018 Mar,-9.410231530351254e-4
2018 Apr,-2.133759616818054e-5
2018 May,0.003147408773659599
2018 Jun,0.0014588350839250808
2018 Jul,-9.309187433679256e-4
