UMP,VSTOXX,GDP,CPI,Month,Retail
849023.8417342638,9.086101896277931,2081.3601632434875,0.8,2014 Jan,98.25423494240596
829225.8515744553,10.834565907014793,2610.6253935610875,0.7,2014 Feb,98.20612389726855
805841.215203294,8.027284832930745,-558.9950942415744,0.5,2014 Mar,98.35328898192708
793929.1442056567,4.053790953364388,2153.1451869946904,0.7,2014 Apr,98.45145068752689
775245.3202236665,4.835460702973398,-4705.296255804133,0.5,2014 May,97.97267621720951
753691.3349595707,5.436322523360807,-4384.5116885975,0.5,2014 Jun,98.36992886956452
737712.3651399628,7.071796995964632,-3014.133745973464,0.4,2014 Jul,97.59872746889269
751200.3516813576,7.683340387487724,-1899.585255233571,0.4,2014 Aug,98.75138842566109
753722.6075062484,4.351781094929042,-853.4095121719874,0.3,2014 Sep,98.38081851835804
772279.2298210044,13.66800726412356,-671.2461457289755,0.4,2014 Oct,98.6255989005854
758247.2621247547,6.059141426412092,-3771.3269433057867,0.3,2014 Nov,98.73407558578283
783834.8566284828,17.062749880059595,-2255.484758063685,-0.2,2014 Dec,98.65261873780827
810222.4999012112,13.262873014019249,-2928.9494773116894,-0.6,2015 Jan,98.95864935867485
799199.2120419035,12.629705905402046,4958.824732461479,-0.3,2015 Feb,99.16114998829205
832118.5335316549,4.332908876787677,4390.138481438626,-0.1,2015 Mar,99.05422260118428
845145.9016702205,10.077718970089672,425.11812263261527,0.2,2015 Apr,100.09202238633007
853696.5758862002,7.8667124647343645,561.6000572461635,0.6,2015 May,100.42380243363151
882429.0223898342,11.257484032754709,1392.8101428449154,0.5,2015 Jun,100.45240495307999
920775.6152350715,25.325537080405386,3559.074903408531,0.5,2015 Jul,100.70765449747485
956927.2239283053,30.356107326648452,-3107.4376118527725,0.4,2015 Aug,100.39614203362784
933748.2974471747,10.9173970478315,-3018.170499058906,0.2,2015 Sep,100.26968576307927
975771.9790626927,15.577523609179526,2097.5688879135996,0.4,2015 Oct,100.13744878267855
1003569.5826085868,7.394952518779282,-5359.373919259757,0.1,2015 Nov,99.4509119271273
993166.5126923202,10.433394060338937,518.9735870449804,0.3,2015 Dec,100.75075682429998
1024463.127016776,12.013548856345052,9595.964494661428,0.3,2016 Jan,100.28598129995189
1056240.7137421707,11.73389461244646,4234.9732661959715,-0.1,2016 Feb,100.38930964263804
1034697.1653770366,10.997655619858262,-5184.412148834206,0,2016 Mar,99.8658408946963
1080108.89040907,10.15107736858507,-1001.4076045984402,-0.3,2016 Apr,100.08029288919596
1116111.9805802847,8.483710939661208,-4053.633219486568,-0.1,2016 May,100.63019320344105
1132578.8196539509,26.442670343018413,-3045.0420969370753,0,2016 Jun,100.62919900797573
1158665.935966336,12.224699545060403,-1860.2788759185933,0.2,2016 Jul,101.30828569606864
1177215.2799757964,6.250316743904299,-3758.0037524811924,0.2,2016 Aug,101.40410962747976
1226596.2843530315,7.053607667937155,-9474.451786766294,0.4,2016 Sep,101.16605260747886
1242985.3188869848,5.547214221661174,1955.0043218559586,0.5,2016 Oct,103.13980270608137
1270011.7872926958,8.020843721432076,-2269.1549594700336,0.6,2016 Nov,102.20027680793592
1262826.5200127251,10.048748107301725,-750.9229971361347,1.1,2016 Dec,103.16552108587422
1294351.8760701036,4.366120522219406,-2616.0204800572246,1.7,2017 Jan,103.71217385091634
1331601.6888137613,3.6017632022897366,-1126.3007675483823,2,2017 Feb,104.01625212779798
1376386.1831017828,6.340082431681297,2352.9873148179613,1.5,2017 Mar,104.77604758320312
1391566.24442264,16.48898557825502,1054.986300546676,1.9,2017 Apr,104.26718428948254
1387808.8738755924,5.974008564835444,1228.89664206421,1.4,2017 May,104.635279036293
1389133.7098787823,5.121415839261284,-2877.8838220746256,1.3,2017 Jun,104.60471847074517
1415405.9488763316,4.261852756724474,1103.4473257376812,1.3,2017 Jul,104.9077393084794
1421196.7647412533,8.5473407397288,-1429.1630645683035,1.5,2017 Aug,104.41090889194729
1409629.8134899633,7.87589060075113,6824.94367880933,1.6,2017 Sep,106.36098540220564
1432028.9005054252,3.195064487327575,-8503.622731110547,1.4,2017 Oct,104.84093299817975
1442490.2117075415,5.462125519845315,9702.898008909542,1.5,2017 Nov,106.84789520358241
1465103.4712876081,5.346177221860855,22712.147289388347,1.3,2017 Dec,107.17809654958387
1479698.3316343639,5.1564303166928465,8007.425351818558,1.3,2018 Jan,106.6239903374154
1504274.464093839,25.393168574940944,-4586.899450207595,1.1,2018 Feb,106.42933568449149
1503023.0947325707,11.810108857542339,-4693.486730968114,1.4,2018 Mar,107.18235306104259
1518500.5391066289,9.306908633425012,-4091.8874991806224,1.2,2018 Apr,107.56679349850717
1546682.7546056972,9.83053443356695,3837.7665185267106,2,2018 May,108.13704438277762
1572029.8889805696,8.24835768113871,5892.839050467592,2,2018 Jun,108.20012831703905
1558529.552105442,7.424186108560684,-3799.748411993962,2.2,2018 Jul,108.20879198609477
1532936.3896779865,6.901816985743938,-1889.549053336028,2.1,2018 Aug,108.52276432059817
1555179.0326503331,6.571591945031278,-4696.862355856691,2.1,2018 Sep,108.5601020034289
1547656.058431443,12.10713196794881,2320.6202916842885,2.3,2018 Oct,109.64166770526909
1548402.0987141042,4.867068294018109,46.446421118453145,1.9,2018 Nov,109.72801020879874
1554544.5784567962,11.300934084554951,-5838.109743182082,1.5,2018 Dec,108.77816236928854
1518147.59728343,11.72557929852121,-232.2991676046513,1.4,2019 Jan,109.63096486180754
1503047.8283376563,3.711623000209505,5577.002679760568,1.5,2019 Feb,110.23808344099788
1533986.4024137808,6.671098240844606,7656.3020336828195,1.4,2019 Mar,110.38498722075578
1503084.2725007138,5.8322652710138,4835.040587279014,1.7,2019 Apr,110.96341528194108
1506758.3324911355,7.363936057077579,754.8841956956312,1.2,2019 May,110.33656452468011
1511507.4640283794,4.942022095391938,1661.8014219542965,1.3,2019 Jun,111.3937458960146
1497776.384195384,3.3341152757776564,-683.4363229805604,1,2019 Jul,111.30856366212855
1506208.3212785092,8.946065398415511,2406.848628003616,1,2019 Aug,111.73377090665677
1522623.9470372733,5.237559035562273,5416.796533942223,0.8,2019 Sep,111.75858527243415
1473416.6908493338,11.243392634996946,5916.543989126105,0.7,2019 Oct,111.54230923431403
1471752.4977959967,1.930857023189443,4090.485955757089,1,2019 Nov,112.40802223597332
1504475.697320978,8.126771758165336,-20175.286246495787,1.3,2019 Dec,111.87807402973989
