UMP,VSTOXX,GDP,CPI,Month,Retail
849023.8417342638,9.086101896277931,4.0721107242447374e-4,4.603067977896221,2014 Jan,0.0010043894863152047
829225.8515744553,10.834565907014793,3.7219687901313137e-4,4.603568904621118,2014 Feb,4.301738135605859e-4
805841.215203294,8.027284832930745,-0.0010987304240916984,4.603067977896221,2014 Mar,0.0011770047231278724
793929.1442056567,4.053790953364388,0.0012905587120641826,4.603468739348334,2014 Apr,0.0021581165205732944
775245.3202236665,4.835460702973398,-0.0018639546040652988,4.602667055769973,2014 May,-0.0034751913754407227
753691.3349595707,5.436322523360807,-0.001657413458877599,4.603468739348334,2014 Jun,3.07602762719128e-5
737712.3651399628,7.071796995964632,-0.0011096820313323263,4.603568904621118,2014 Jul,-0.008700053220227488
751200.3516813576,7.683340387487724,-6.639074227194897e-4,4.603969465411573,2014 Aug,0.0019290281189681124
753722.6075062484,4.351781094929042,-8.715148146443141e-5,4.60487014097909,2014 Sep,-0.0025261603378803343
772279.2298210044,13.66800726412356,-2.2680423318277576e-4,4.603869340255043,2014 Oct,-7.070412270309134e-4
758247.2621247547,6.059141426412092,-9.481001907349906e-4,4.603268378698495,2014 Nov,-0.0014263918362438233
783834.8566284828,17.062749880059595,-1.1117047040976047e-4,4.600358628990869,2014 Dec,-0.003521101644533786
810222.4999012112,13.262873014019249,-0.0014123933827185908,4.598950886174174,2015 Jan,-0.0022003740050919873
799199.2120419035,12.629705905402046,0.0011052485295142134,4.602265972840701,2015 Feb,-0.0015718906850841208
832118.5335316549,4.332908876787677,9.683065543004687e-4,4.604369865817322,2015 Mar,-0.004144511470054901
845145.9016702205,10.077718970089672,3.2330369802480163e-4,4.605270180988425,2015 Apr,0.004577264722160024
853696.5758862002,7.8667124647343645,2.1460315134014252e-4,4.607267984070237,2015 May,0.006755652657590261
882429.0223898342,11.257484032754709,6.072814019706385e-4,4.607766811835357,2015 Jun,0.005786962291308484
920775.6152350715,25.325537080405386,0.0013939591764771109,4.606768907351788,2015 Jul,0.006799810834793085
956927.2239283053,30.356107326648452,-0.0011283200469787147,4.6061696863211745,2015 Aug,0.002351535934564275
933748.2974471747,10.9173970478315,-8.030164152916797e-4,4.605470140997089,2015 Sep,8.71424850142688e-4
975771.9790626927,15.577523609179526,8.202489248052558e-4,4.6063694665635735,2015 Oct,-0.001222764572069046
1003569.5826085868,7.394952518779282,-0.0010918188628128433,4.606669062111827,2015 Nov,-0.008442855774617009
993166.5126923202,10.433394060338937,0.0012270756202319433,4.604670060946409,2015 Dec,0.004276348483647219
1024463.127016776,12.013548856345052,0.0033234945194067222,4.602165676967792,2016 Jan,-0.001180779206784166
1056240.7137421707,11.73389461244646,7.273633011486424e-4,4.601362947645137,2016 Feb,-0.0011264593005764212
1034697.1653770366,10.997655619858262,-0.0027137539013661893,4.603468739348334,2016 Mar,-0.007256188918697504
1080108.89040907,10.15107736858507,-4.0255551732570893e-4,4.603468739348334,2016 Apr,-0.006347859342595186
1116111.9805802847,8.483710939661208,-0.001618241135632914,4.605969866158656,2016 May,-0.0029119067196576864
1132578.8196539509,26.442670343018413,-0.001132606058375174,4.60816569496789,2016 Jun,-0.005124230119138318
1158665.935966336,12.224699545060403,-7.375109708327443e-4,4.608365076884611,2016 Jul,-8.671255870842387e-4
1177215.2799757964,6.250316743904299,-0.0014130864737929016,4.608365076884611,2016 Aug,-0.0035557629521836276
1226596.2843530315,7.053607667937155,-0.0031983466540186356,4.609460967405248,2016 Sep,-0.008308849868774892
1242985.3188869848,5.547214221661174,7.370621416278311e-4,4.611450423945242,2016 Oct,0.007970454082311562
1270011.7872926958,8.020843721432076,1.7037543336506644e-4,4.612642200826793,2016 Nov,-0.004258161220545453
1262826.5200127251,10.048748107301725,4.853252167347222e-4,4.615714399863762,2016 Dec,0.0020261800516756523
1294351.8760701036,4.366120522219406,-0.0013035787116226771,4.619073091157083,2017 Jan,0.0035512362459790836
1331601.6888137613,3.6017632022897366,-0.0012608163868321753,4.620846665373099,2017 Feb,0.0034442549115967225
1376386.1831017828,6.340082431681297,2.6738557733274604e-4,4.6198617347310815,2017 Mar,0.007831728492257106
1391566.24442264,16.48898557825502,5.318773415297073e-4,4.621338767149675,2017 Apr,-2.385792105465967e-4
1387808.8738755924,5.974008564835444,9.515286002148571e-4,4.620452809519248,2017 May,7.562865486514525e-4
1389133.7098787823,5.121415839261284,-6.819329846052824e-5,4.620058798481842,2017 Jun,-0.002220601797864319
1415405.9488763316,4.261852756724474,0.0016608101065269665,4.620846665373099,2017 Jul,-0.0022528956370342357
1421196.7647412533,8.5473407397288,0.001053113022996044,4.622813621160686,2017 Aug,-0.010058806329029224
1409629.8134899633,7.87589060075113,0.004693000517008272,4.62477671562701,2017 Sep,0.006749561605982279
1432028.9005054252,3.195064487327575,-9.204913352220956e-4,4.625168872494781,2017 Oct,-0.010138539924458456
1442490.2117075415,5.462125519845315,0.006674043945025687,4.628202885098664,2017 Nov,0.006476039542900658
1465103.4712876081,5.346177221860855,0.010711777320194571,4.629374874684909,2017 Dec,0.007132443387507514
1479698.3316343639,5.1564303166928465,0.004476501445939363,4.6321041872281725,2018 Jan,-0.0012466098626200406
1504274.464093839,25.393168574940944,-8.489897662187218e-4,4.632298853376344,2018 Feb,-0.005615582171509814
1503023.0947325707,11.810108857542339,-9.160036813167238e-4,4.633563260489309,2018 Mar,-9.410231530351254e-4
1518500.5391066289,9.306908633425012,-2.7540475699261435e-4,4.63463189613771,2018 Apr,-2.133759616818054e-5
