UMP,VSTOXX,GDP,CPI,Month,Retail
0.05675278906093695,9.086101896277931,4.0721107242447374e-4,0.8,2014 Jan,0.0010043894863152047
0.04218630503913268,10.834565907014793,3.7219687901313137e-4,0.7,2014 Feb,4.301738135605859e-4
0.019412332798026455,8.027284832930745,-0.0010987304240916984,0.5,2014 Mar,0.0011770047231278724
0.008232364965820693,4.053790953364388,0.0012905587120641826,0.7,2014 Apr,0.0021581165205732944
-0.009752007309304034,4.835460702973398,-0.0018639546040652988,0.5,2014 May,-0.0034751913754407227
-0.04115288357234981,5.436322523360807,-0.001657413458877599,0.5,2014 Jun,3.07602762719128e-5
-0.06519544317182202,7.071796995964632,-0.0011096820313323263,0.4,2014 Jul,-0.008700053220227488
-0.047506128947512494,7.683340387487724,-6.639074227194897e-4,0.4,2014 Aug,0.0019290281189681124
-0.036135640656054235,4.351781094929042,-8.715148146443141e-5,0.3,2014 Sep,-0.0025261603378803343
-0.024530501434266938,13.66800726412356,-2.2680423318277576e-4,0.4,2014 Oct,-7.070412270309134e-4
-0.04604451981487223,6.059141426412092,-9.481001907349906e-4,0.3,2014 Nov,-0.0014263918362438233
-0.02259102304390659,17.062749880059595,-1.1117047040976047e-4,-0.2,2014 Dec,-0.003521101644533786
-0.003661670163218389,13.262873014019249,-0.0014123933827185908,-0.6,2015 Jan,-0.0022003740050919873
-0.028673957261007743,12.629705905402046,0.0011052485295142134,-0.3,2015 Feb,-0.0015718906850841208
-0.004103317692926822,4.332908876787677,9.683065543004687e-4,-0.1,2015 Mar,-0.004144511470054901
-0.007177676054265447,10.077718970089672,3.2330369802480163e-4,0.2,2015 Apr,0.004577264722160024
-0.01398616600496716,7.8667124647343645,2.1460315134014252e-4,0.6,2015 May,0.006755652657590261
-0.0038735549236594835,11.257484032754709,6.072814019706385e-4,0.5,2015 Jun,0.005786962291308484
0.016197335969973636,25.325537080405386,0.0013939591764771109,0.5,2015 Jul,0.006799810834793085
0.03176411897518783,30.356107326648452,-0.0011283200469787147,0.4,2015 Aug,0.002351535934564275
-0.008578493581882896,10.9173970478315,-8.030164152916797e-4,0.2,2015 Sep,8.71424850142688e-4
0.007038823176676701,15.577523609179526,8.202489248052558e-4,0.4,2015 Oct,-0.001222764572069046
0.01845372579227167,7.394952518779282,-0.0010918188628128433,0.1,2015 Nov,-0.008442855774617009
-0.011783148065644511,10.433394060338937,0.0012270756202319433,0.3,2015 Dec,0.004276348483647219
-0.007248080980692961,12.013548856345052,0.0033234945194067222,0.3,2016 Jan,-0.001180779206784166
0.0069169932809778345,11.73389461244646,7.273633011486424e-4,-0.1,2016 Feb,-0.0011264593005764212
-0.0311077733064149,10.997655619858262,-0.0027137539013661893,0,2016 Mar,-0.007256188918697504
-0.008879424388126722,10.15107736858507,-4.0255551732570893e-4,-0.3,2016 Apr,-0.006347859342595186
0.0055654400203302146,8.483710939661208,-0.001618241135632914,-0.1,2016 May,-0.0029119067196576864
0.0021947631326160177,26.442670343018413,-0.001132606058375174,0,2016 Jun,-0.005124230119138318
0.004691560988916876,12.224699545060403,-7.375109708327443e-4,0.2,2016 Jul,-8.671255870842387e-4
-0.003146429912057158,6.250316743904299,-0.0014130864737929016,0.2,2016 Aug,-0.0035557629521836276
0.019349190682504513,7.053607667937155,-0.0031983466540186356,0.4,2016 Sep,-0.008308849868774892
0.010029840437661974,5.547214221661174,7.370621416278311e-4,0.5,2016 Oct,0.007970454082311562
0.014371241925612566,8.020843721432076,1.7037543336506644e-4,0.6,2016 Nov,-0.004258161220545453
-0.008385281583262127,10.048748107301725,4.853252167347222e-4,1.1,2016 Dec,0.0020261800516756523
-0.007251246351630769,4.366120522219406,-0.0013035787116226771,1.7,2017 Jan,0.0035512362459790836
0.007796894671882271,3.6017632022897366,-0.0012608163868321753,2,2017 Feb,0.0034442549115967225
0.027995205497761688,6.340082431681297,2.6738557733274604e-4,1.5,2017 Mar,0.007831728492257106
0.024387107747850578,16.48898557825502,5.318773415297073e-4,1.9,2017 Apr,-2.385792105465967e-4
0.011088359571612472,5.974008564835444,9.515286002148571e-4,1.4,2017 May,7.562865486514525e-4
0.004898457440880577,5.121415839261284,-6.819329846052824e-5,1.3,2017 Jun,-0.002220601797864319
0.013318131978024894,4.261852756724474,0.0016608101065269665,1.3,2017 Jul,-0.0022528956370342357
0.004785084454981714,8.5473407397288,0.001053113022996044,1.5,2017 Aug,-0.010058806329029224
-0.012654229935879613,7.87589060075113,0.004693000517008272,1.6,2017 Sep,0.006749561605982279
-0.005921413904546924,3.195064487327575,-9.204913352220956e-4,1.4,2017 Oct,-0.010138539924458456
-0.007580264058544728,5.462125519845315,0.006674043945025687,1.5,2017 Nov,0.006476039542900658
8.370810021265385e-4,5.346177221860855,0.010711777320194571,1.3,2017 Dec,0.007132443387507514
-8.96928500413452e-4,5.1564303166928465,0.004476501445939363,1.3,2018 Jan,-0.0012466098626200406
0.007353737648658765,25.393168574940944,-8.489897662187218e-4,1.1,2018 Feb,-0.005615582171509814
-1.502744760539798e-4,11.810108857542339,-9.160036813167238e-4,1.4,2018 Mar,-9.410231530351254e-4
0.0022461959033233114,9.306908633425012,-2.7540475699261435e-4,1.2,2018 Apr,-2.133759616818054e-5
0.015521386958367245,9.83053443356695,0.002318452680857064,2,2018 May,0.003147408773659599
0.03108117283986367,8.24835768113871,0.0029229510816346504,2,2018 Jun,0.0014588350839250808
0.019061849570327638,7.424186108560684,-8.693655363281039e-4,2.2,2018 Jul,-9.309187433679256e-4
