
Date	Loans	Deposits	Total_Assets/Liabilities
2008Feb	175353	210465.00	280272.00
2008Jan	176262	198225.00	281242.00
2007Dec	149957	169688.00	254025.00
2007Nov	130872	165048.00	232368.00
2007Oct	138146	172105.00	238981.00
2007Sep	105661	140277.00	207241.00
2007Aug	122544	156655.00	223617.00
2007Jul	106425	141633.00	208516.00
2007Jun	104869	131686.00	206126.00
2007May	101216	136674.00	201642.00
2007Apr	87048	121931.00	186641.00
2007Mar	87593	122604.00	187148.00
2007Feb	94128	130527.00	194938.00
2007Jan	88768	123467.00	187647.00
2006Dec	87170	121593.00	185959.00
2006Nov	90647	124811.00	187094.00
2006Oct	93537	127937.00	190021.00
2006Sep	90289	124524.00	186793.00
2006Aug	99533	134022.00	194713.00
2006Jul	100809	134929.00	196618.00
2006Jun	103247	136730.00	197012.00
2006May	87871	122199.00	182398.00
2006Apr	87089	121868.00	182337.00
2006Mar	79151	112096.00	173090.00
2006Feb	86261	120816.00	181094.00
2006Jan	88766	122169.00	181451.00
2005Dec	79674	112505.00	174324.00
2005Nov	82671	116024.00	175618.00
2005Oct	84323	118451.00	175653.00
2005Sep	77902	111402.00	169592.00
2005Aug	79181	113072.00	167716.00
2005Jul	82562	116884.00	171886.00
2005Jun	85113	118835.00	174269.00
2005May	75530	109361.00	161164.00
2005Apr	82521	115554.00	165969.00
2005Mar	82219	114682.00	165558.00
2005Feb	89771	122842.00	170129.00
2005Jan	81594	115178.00	163369.00
